timestamp,model,persona_file,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-02T10:59:00.320436+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,2,affrmact,Some people say that because of past discriminatio...,1,4.0,206,2,208,,4
2026-04-02T10:59:00.542645+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,2,eqwlth,Some people think that the government in Washingto...,1,1.0,300,2,302,,1
2026-04-02T10:59:00.733212+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,1,confed,I am going to name some institutions in this count...,1,2.0,203,1,204,,2
2026-04-02T10:59:00.794479+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,1,consci,I am going to name some institutions in this count...,1,2.0,200,1,201,,2
2026-04-02T10:59:01.260106+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,1,affrmact,Some people say that because of past discriminatio...,1,3.0,216,1,217,,3
2026-04-02T10:59:01.773044+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,2,confed,I am going to name some institutions in this count...,1,2.0,193,1,194,,2
2026-04-02T10:59:01.791615+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,2,consci,I am going to name some institutions in this count...,1,1.0,190,2,192,,1
2026-04-02T10:59:01.824864+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,1,conpress,I am going to name some institutions in this count...,1,2.0,199,1,200,,2
2026-04-02T10:59:01.918225+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,3,affrmact,Some people say that because of past discriminatio...,1,4.0,200,2,202,,4
2026-04-02T10:59:01.931863+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,2,conpress,I am going to name some institutions in this count...,1,2.0,189,2,191,,2
2026-04-02T10:59:02.301766+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,4,confed,I am going to name some institutions in this count...,1,2.0,194,2,196,,2
2026-04-02T10:59:02.553544+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,3,eqwlth,Some people think that the government in Washingto...,1,1.0,294,2,296,,1
2026-04-02T10:59:02.916463+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,3,confed,I am going to name some institutions in this count...,1,2.0,193,2,195,,2
2026-04-02T10:59:03.152092+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,3,conpress,I am going to name some institutions in this count...,1,2.0,183,2,185,,2
2026-04-02T10:59:03.158314+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,4,affrmact,Some people say that because of past discriminatio...,1,4.0,213,2,215,,4
2026-04-02T10:59:03.169871+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,1,eqwlth,Some people think that the government in Washingto...,1,3.0,316,2,318,,3
2026-04-02T10:59:03.423518+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,4,conpress,I am going to name some institutions in this count...,1,2.0,190,2,192,,2
2026-04-02T10:59:03.929962+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,4,consci,I am going to name some institutions in this count...,1,2.0,197,2,199,,2
2026-04-02T10:59:03.947220+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,3,consci,I am going to name some institutions in this count...,1,1.0,184,1,185,,1
2026-04-02T10:59:04.404546+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,4,eqwlth,Some people think that the government in Washingto...,1,4.0,301,1,302,,4
2026-04-02T10:59:04.963129+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,5,conpress,I am going to name some institutions in this count...,1,2.0,194,2,196,,2
2026-04-02T10:59:05.124571+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,5,eqwlth,Some people think that the government in Washingto...,1,3.0,305,1,306,,3
2026-04-02T10:59:05.550022+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,5,affrmact,Some people say that because of past discriminatio...,1,4.0,211,2,213,,4
2026-04-02T10:59:06.172054+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,6,affrmact,Some people say that because of past discriminatio...,1,4.0,214,2,216,,4
2026-04-02T10:59:06.662979+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,5,confed,I am going to name some institutions in this count...,1,2.0,198,1,199,,2
2026-04-02T10:59:06.710110+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,6,confed,I am going to name some institutions in this count...,1,2.0,195,2,197,,2
2026-04-02T10:59:06.855351+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,7,eqwlth,Some people think that the government in Washingto...,1,1.0,290,2,292,,1
2026-04-02T10:59:07.015897+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,6,eqwlth,Some people think that the government in Washingto...,1,3.0,302,2,304,,3
2026-04-02T10:59:07.147693+00:00,deepseek/deepseek-v3.2-20251201,gss2024_personas,6,conpress,I am going to name some institutions in this count...,1,2.0,191,1,192,,2
