timestamp,model,persona_file,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-02T10:51:06.840654+00:00,google/gemini-2.5-flash-lite,personas_demographics,2,confed,I am going to name some institutions in this count...,1,2,186,1,187,,2
2026-04-02T10:51:06.915819+00:00,google/gemini-2.5-flash-lite,personas_demographics,1,affrmact,Some people say that because of past discriminatio...,1,3,203,1,204,,3
2026-04-02T10:51:07.217072+00:00,google/gemini-2.5-flash-lite,personas_demographics,2,conpress,I am going to name some institutions in this count...,1,2,182,1,183,,2
2026-04-02T10:51:12.283500+00:00,google/gemini-2.5-flash-lite,personas_demographics,2,affrmact,Some people say that because of past discriminatio...,1,3,198,1,199,,3
2026-04-02T10:51:12.610100+00:00,google/gemini-2.5-flash-lite,personas_demographics,1,conpress,I am going to name some institutions in this count...,1,3,187,1,188,,3
2026-04-02T10:51:12.618131+00:00,google/gemini-2.5-flash-lite,personas_demographics,3,affrmact,Some people say that because of past discriminatio...,1,4,193,1,194,,4
2026-04-02T10:51:12.718762+00:00,google/gemini-2.5-flash-lite,personas_demographics,3,eqwlth,Some people think that the government in Washingto...,1,4,289,1,290,,4
2026-04-02T10:51:12.805736+00:00,google/gemini-2.5-flash-lite,personas_demographics,1,eqwlth,Some people think that the government in Washingto...,1,4,299,1,300,,4
2026-04-02T10:51:13.073662+00:00,google/gemini-2.5-flash-lite,personas_demographics,3,confed,I am going to name some institutions in this count...,1,2,181,1,182,,2
2026-04-02T10:51:13.101159+00:00,google/gemini-2.5-flash-lite,personas_demographics,3,conpress,I am going to name some institutions in this count...,1,2,177,1,178,,2
2026-04-02T10:51:13.222330+00:00,google/gemini-2.5-flash-lite,personas_demographics,3,consci,I am going to name some institutions in this count...,1,1,178,1,179,,1
2026-04-02T10:51:13.245783+00:00,google/gemini-2.5-flash-lite,personas_demographics,1,consci,I am going to name some institutions in this count...,1,1,188,1,189,,1
2026-04-02T10:51:13.248558+00:00,google/gemini-2.5-flash-lite,personas_demographics,4,affrmact,Some people say that because of past discriminatio...,1,3,198,1,199,,3
2026-04-02T10:51:13.290220+00:00,google/gemini-2.5-flash-lite,personas_demographics,2,eqwlth,Some people think that the government in Washingto...,1,4,294,1,295,,4
2026-04-02T10:51:13.517102+00:00,google/gemini-2.5-flash-lite,personas_demographics,4,eqwlth,Some people think that the government in Washingto...,1,5,294,1,295,,5
2026-04-02T10:51:13.699547+00:00,google/gemini-2.5-flash-lite,personas_demographics,4,conpress,I am going to name some institutions in this count...,1,2,182,1,183,,2
2026-04-02T10:51:13.704352+00:00,google/gemini-2.5-flash-lite,personas_demographics,4,confed,I am going to name some institutions in this count...,1,3,186,1,187,,3
2026-04-02T10:51:13.763157+00:00,google/gemini-2.5-flash-lite,personas_demographics,1,confed,I am going to name some institutions in this count...,1,2,191,1,192,,2
2026-04-02T10:51:13.780001+00:00,google/gemini-2.5-flash-lite,personas_demographics,5,eqwlth,Some people think that the government in Washingto...,1,4,287,1,288,,4
2026-04-02T10:51:13.786450+00:00,google/gemini-2.5-flash-lite,personas_demographics,4,consci,I am going to name some institutions in this count...,1,1,183,1,184,,1
2026-04-02T10:51:13.880781+00:00,google/gemini-2.5-flash-lite,personas_demographics,5,affrmact,Some people say that because of past discriminatio...,1,3,191,1,192,,3
2026-04-02T10:51:13.958301+00:00,google/gemini-2.5-flash-lite,personas_demographics,2,consci,I am going to name some institutions in this count...,1,2,183,1,184,,2
2026-04-02T10:51:14.045620+00:00,google/gemini-2.5-flash-lite,personas_demographics,5,confed,I am going to name some institutions in this count...,1,2,179,1,180,,2
2026-04-02T10:51:14.201500+00:00,google/gemini-2.5-flash-lite,personas_demographics,5,conpress,I am going to name some institutions in this count...,1,2,175,1,176,,2
2026-04-02T10:51:14.259246+00:00,google/gemini-2.5-flash-lite,personas_demographics,5,consci,I am going to name some institutions in this count...,1,1,176,1,177,,1
2026-04-02T10:51:14.396387+00:00,google/gemini-2.5-flash-lite,personas_demographics,6,eqwlth,Some people think that the government in Washingto...,1,3,287,1,288,,3
2026-04-02T10:51:14.429384+00:00,google/gemini-2.5-flash-lite,personas_demographics,6,affrmact,Some people say that because of past discriminatio...,1,4,191,1,192,,4
