timestamp,model,persona_file,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-02T10:52:14.300194+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics,1,affrmact,Some people say that because of past discriminatio...,1,1.0,192,2,194,,1
2026-04-02T10:52:14.462465+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics,1,consci,I am going to name some institutions in this count...,1,2.0,176,2,178,,2
2026-04-02T10:52:14.619302+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics,2,affrmact,Some people say that because of past discriminatio...,1,4.0,189,1,190,,4
2026-04-02T10:52:14.944832+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics,2,eqwlth,Some people think that the government in Washingto...,1,3.0,289,2,291,,3
2026-04-02T10:52:15.340397+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics,1,conpress,I am going to name some institutions in this count...,1,,175,50,225,"Could not parse answer: actually. This with consideration especially for. null because yes not of the 1; on2ter.

opens
? or ""2ter.t or
2 or
2,2ter3 and3, We?

tertering. we all","actually. This with consideration especially for. null because yes not of the 1; on2ter.

opens
? or ""2ter.t or
2 or
2,2ter3 and3, We?

tertering. we all"
2026-04-02T10:52:15.370432+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics,2,conpress,I am going to name some institutions in this count...,1,2.0,172,2,174,,2
2026-04-02T10:52:15.975377+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics,2,consci,I am going to name some institutions in this count...,1,2.0,173,2,175,,2
2026-04-02T10:52:16.241296+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics,3,confed,I am going to name some institutions in this count...,1,2.0,170,2,172,,2
2026-04-02T10:52:16.370423+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics,3,eqwlth,Some people think that the government in Washingto...,1,3.0,283,2,285,,3
2026-04-02T10:52:16.408639+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics,3,affrmact,Some people say that because of past discriminatio...,1,4.0,183,2,185,,4
